Star Name,Radec,Decdec
GAIA DR2 4150099732733146112,269.92916667,-12.02444444
GAIA DR2 4150446010182968192,269.01666667,-12.83250000
GAIA DR2 4150446010182968192,269.01666667,-12.83250000
FASTT 1100,268.43750000,-0.87055556
FASTT 1100,268.43750000,-0.87055556
GAIA DR2 4168021909706732672,261.35833333,-6.19250000
GAIA DR2 4168021909706732672,261.35833333,-6.19250000
V2525 Oph,258.77083333,-8.60277778
V2525 Oph,258.77083333,-8.60277778
SS 295,256.90833333,-6.25333333
SS 295,256.90833333,-6.25333333
GAIA DR2 4334886650491663104,256.53333333,-9.02444444
GAIA DR2 4334886650491663104,256.53333333,-9.02444444
GAIA DR2 4131587500273361280,249.99583333,-17.25611111
GAIA DR2 4131587500273361280,249.99583333,-17.25611111
LQ Peg,324.07916667,11.68166667
LQ Peg,324.07916667,11.68166667
UU Aqr,332.27083333,-2.22861111
UU Aqr,332.27083333,-2.22861111
V378 Peg,355.01666667,30.29638889
V378 Peg,355.01666667,30.29638889
M31_V1,10.36250000,41.16944444
MRK 421,166.11250000,38.20861111
BL Lac,330.67916667,42.27750000
XZ Tau,67.91666667,18.23250000
XZ Tau,67.91666667,18.23250000
XZ Tau,67.91666667,18.23250000
HL Tau,67.90833333,18.23277778
HL Tau,67.90833333,18.23277778
HL Tau,67.90833333,18.23277778
V349 Vul,292.79166667,23.50916667
V349 Vul,292.79166667,23.50916667
RT Aql,294.50416667,11.72166667
RT Aql,294.50416667,11.72166667
V353 Vul,297.34166667,22.62750000
V353 Vul,297.34166667,22.62750000
V1301 Cyg,300.55000000,37.63472222
V1301 Cyg,300.55000000,37.63472222
SX Cyg,303.88750000,31.07222222
SX Cyg,303.88750000,31.07222222
AU Cyg,304.63333333,34.38916667
AU Cyg,304.63333333,34.38916667
V1655 Cyg,306.35000000,38.70972222
V1655 Cyg,306.35000000,38.70972222
V1659 Cyg,307.27083333,39.71250000
V1659 Cyg,307.27083333,39.71250000
NSVS J2041274+511326,310.36250000,51.22500000
NSVS J2041274+511326,310.36250000,51.22500000
DR Cyg,310.92083333,38.16527778
DR Cyg,310.92083333,38.16527778
V750 Cyg,312.33750000,50.53083333
V750 Cyg,312.33750000,50.53083333
W Cep,339.11250000,58.42583333
W Cep,339.11250000,58.42583333
AL Cep,342.31666667,58.58527778
AL Cep,342.31666667,58.58527778
VX Cep,342.70416667,64.25138889
VX Cep,342.70416667,64.25138889
FY Aql,292.00000000,3.69944444
